구,법정동,공원명,공원구분,소재지지번주소,위도,경도,공원면적,공원면적분류
금천구,독산동,무궁화,어린이공원,서울특별시 금천구 독산동 378-291,37.464377,126.904391,1336,2400
금천구,독산동,정훈,어린이공원,서울특별시 금천구 독산동 378-4,37.46567731,126.9063221,1094,1183
금천구,독산동,꿈나무,어린이공원,서울특별시 금천구 독산동 378-434,37.46351982,126.9049179,567,766
금천구,독산동,목화,어린이공원,서울특별시 금천구 독산동 883-9,37.477455,126.907262,985,1183
금천구,독산동,한사랑,어린이공원,서울특별시 금천구 독산동 925-2,37.467716,126.904573,585,766
금천구,독산동,구룡,어린이공원,서울특별시 금천구 독산동 964,37.477891,126.902278,934,1183
금천구,독산동,반수,어린이공원,서울특별시 금천구 독산동 980-44,37.4740151,126.902233,990,1183
금천구,독산동,동산,어린이공원,서울특별시 금천구 독산동 993-29,37.47292006,126.9059645,1017,1183
금천구,독산동,다람쥐,어린이공원,서울특별시 금천구 독산동 999-11,37.46824515,126.8908193,1019,1183
금천구,독산동,금천체육공원,근린공원,서울특별시 금천구 독산동 산118-4,37.468233,126.908522,18083,9000000
금천구,독산동,독산자연공원,근린공원,서울특별시 금천구 독산동 산89-5,37.473526,126.907326,7650,9000000
금천구,시흥동,단군,어린이공원,서울특별시 금천구 시흥동 169-21,37.45569721,126.9086585,250,766
금천구,시흥동,산장,어린이공원,서울특별시 금천구 시흥동 3-17,37.460931,126.912588,678,766
금천구,시흥동,장미,어린이공원,서울특별시 금천구 시흥동 3-82,37.461586,126.912238,1207,2400
금천구,시흥동,신흥,어린이공원,서울특별시 금천구 시흥동 4-128,37.459874,126.907849,312,766
금천구,시흥동,효봉,어린이공원,서울특별시 금천구 시흥동 4-28,37.460754,126.910507,503,766
금천구,시흥동,풍림,어린이공원,서울특별시 금천구 시흥동 789,37.44783408,126.9012021,2195,2400
금천구,시흥동,중앙,어린이공원,서울특별시 금천구 시흥동 791,37.44561107,126.9005113,1515,2400
금천구,시흥동,송록,어린이공원,서울특별시 금천구 시흥동 791-35,37.461247,126.906169,947,1183
금천구,시흥동,느티나무,어린이공원,서울특별시 금천구 시흥동 817,37.456225,126.906735,939,1183
금천구,시흥동,은행,어린이공원,서울특별시 금천구 시흥동 836,37.452119,126.906993,865,1183
금천구,시흥동,새재미,어린이공원,서울특별시 금천구 시흥동 855,37.459026,126.904239,1185,2400
금천구,시흥동,해태,어린이공원,서울특별시 금천구 시흥동 871-24,37.457773,126.901866,962,1183
금천구,시흥동,부장천,어린이공원,서울특별시 금천구 시흥동 893,37.45266794,126.9044062,944,1183
금천구,시흥동,별장길,어린이공원,서울특별시 금천구 시흥동 925-32,37.448147,126.908596,971,1183
금천구,시흥동,금천폭포공원,근린공원,서울특별시 금천구 시흥동 937-2,37.44639673,126.9044447,7650,9000000
금천구,시흥동,꾸러기,어린이공원,서울특별시 금천구 시흥동 943-16,37.443219,126.905877,359,766
금천구,시흥동,비둘기,어린이공원,서울특별시 금천구 시흥동 947-4,37.441597,126.906264,985,1183
금천구,시흥동,까치,어린이공원,서울특별시 금천구 시흥동 959-2,37.439645,126.905003,925,1183
금천구,시흥동,박미사랑,소공원,서울특별시 금천구 시흥동 963-1,37.437907,126.904519,2162,2400
금천구,시흥동,진달래,어린이공원,서울특별시 금천구 시흥동 970-3,37.434878,126.904883,992,1183
금천구,시흥동,남서울,어린이공원,서울특별시 금천구 시흥동 986-2,37.448336,126.902123,1155,1183
금천구,시흥동,삼성산시민휴식공원,근린공원,서울특별시 금천구 시흥동 산116,37.454747,126.910204,10118,9000000
금천구,시흥동,산기슭공원,근린공원,서울특별시 금천구 시흥동 산138-3,37.46364031,126.9076165,8412,9000000
노원구,월계동,은하수,어린이공원,서울특별시 노원구 월계동 우이천로 102,37.629994,127.0434535,1500,2400
도봉구,도봉동,도봉마루공원,기타,서울특별시 도봉구 도봉동 279,37.6877313,127.0439158,1361,2400
도봉구,도봉동,도봉동(1),기타,서울특별시 도봉구 도봉동 282-275,37.6875164,127.0428127,489,766
